Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.04
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.04
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.015
0.0,0.0,0.0,-1.77,-1.6,1.6,0.9,0.015
0.0,0.0,0.0,-1.77,-1.6,2.6,0.9,0.015
0.0,0.0,0.0,-1.77,-1.6,2.6,0.9,0.015
0.0,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.0,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.0,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.015
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.014
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.014
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.013
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.013
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.012
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.012
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.011
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.011
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.01
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.01
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.009
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.009
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.008
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.008
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.007
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.007
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.006
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.006
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.005
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.005
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.004
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.004
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.003
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.003
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.515,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.514,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.514,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.513,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.513,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.177,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.178,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.178,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.512,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.511,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.511,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.179,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.18,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.18,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.181,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.181,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.51,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.509,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.509,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.182,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.183,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.183,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.184,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.184,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.508,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.507,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.507,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.185,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.186,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.186,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.506,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.505,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.505,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.187,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.188,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.188,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.504,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.503,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.503,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.189,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.19,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.19,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.502,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.501,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.501,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.191,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.192,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.192,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.193,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.193,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.194,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.194,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.195,-1.6,2.6,0.9,0.002
0.107,0.5,0.0,-2.195,-1.6,2.6,0.9,0.002
0.107,0.499,0.0,-2.195,-1.6,2.6,0.9,0.002
0.107,0.499,0.0,-2.195,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.195,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.195,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.196,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.196,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.197,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.197,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.198,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.198,-1.6,2.6,0.9,0.002
0.107,0.497,0.0,-2.198,-1.6,2.6,0.9,0.002
0.107,0.497,0.0,-2.198,-1.6,2.6,0.9,0.002
0.107,0.496,0.0,-2.198,-1.6,2.6,0.9,0.002
0.107,0.496,0.0,-2.198,-1.6,2.6,0.9,0.002
0.107,0.496,0.0,-2.199,-1.6,2.6,0.9,0.002
0.107,0.496,0.0,-2.199,-1.6,2.6,0.9,0.002
0.107,0.496,0.0,-2.2,-1.6,2.6,0.9,0.002
0.107,0.496,0.0,-2.2,-1.6,2.6,0.9,0.002
0.107,0.495,0.0,-2.2,-1.6,2.6,0.9,0.002
0.107,0.495,0.0,-2.2,-1.6,2.6,0.9,0.002
0.107,0.494,0.0,-2.2,-1.6,2.6,0.9,0.002
0.107,0.494,0.0,-2.2,-1.6,2.6,0.9,0.002
0.107,0.494,0.0,-2.201,-1.6,2.6,0.9,0.002
0.107,0.494,0.0,-2.201,-1.6,2.6,0.9,0.002
0.107,0.494,0.0,-2.202,-1.6,2.6,0.9,0.002
0.107,0.494,0.0,-2.202,-1.6,2.6,0.9,0.002
0.107,0.493,0.0,-2.202,-1.6,2.6,0.9,0.002
0.107,0.493,0.0,-2.202,-1.6,2.6,0.9,0.002
0.107,0.492,0.0,-2.202,-1.6,2.6,0.9,0.002
0.107,0.492,0.0,-2.202,-1.6,2.6,0.9,0.002
0.107,0.492,0.0,-2.203,-1.6,2.6,0.9,0.002
0.107,0.492,0.0,-2.203,-1.6,2.6,0.9,0.002
0.107,0.492,0.0,-2.204,-1.6,2.6,0.9,0.002
0.107,0.492,0.0,-2.204,-1.6,2.6,0.9,0.002
0.107,0.491,0.0,-2.204,-1.6,2.6,0.9,0.002
0.107,0.491,0.0,-2.204,-1.6,2.6,0.9,0.002
0.107,0.49,0.0,-2.204,-1.6,2.6,0.9,0.002
0.107,0.49,0.0,-2.204,-1.6,2.6,0.9,0.002
0.107,0.49,0.0,-2.205,-1.6,2.6,0.9,0.002
0.107,0.49,0.0,-2.205,-1.6,2.6,0.9,0.002
0.107,0.49,0.0,-2.206,-1.6,2.6,0.9,0.002
0.107,0.49,0.0,-2.206,-1.6,2.6,0.9,0.002
0.107,0.489,0.0,-2.206,-1.6,2.6,0.9,0.002
0.107,0.489,0.0,-2.206,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.206,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.206,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.207,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.207,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.498,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.488,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.478,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.468,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.458,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.9,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.89,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.88,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.87,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.86,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.85,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.84,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.83,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.82,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.81,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.8,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.79,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.78,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.77,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.76,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.75,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.74,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.73,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.72,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.71,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.7,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.69,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.68,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.667,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.524,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.421,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.277,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.257,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.092,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,0.01,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.072,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.236,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.257,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.38,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.4,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.503,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.524,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.606,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.647,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.811,0.002
0.107,0.448,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.449,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.449,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.45,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.45,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.451,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.451,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.452,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.452,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,0.001,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,0.001,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,0.0,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.01,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.02,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.03,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.04,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.05,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.06,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.07,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.08,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.09,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.453,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.454,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.454,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.455,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.455,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.456,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.456,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.466,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.476,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.486,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.496,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.497,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.497,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.1,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.099,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.099,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.098,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.098,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.097,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.097,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.096,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.096,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.095,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.095,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.094,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.094,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.093,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.093,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.092,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.092,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.091,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.091,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.09,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.09,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.089,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.089,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.498,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.499,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.499,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.5,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.5,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.501,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.501,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.502,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.502,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.873,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.872,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.872,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.871,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.871,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.87,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.87,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.869,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.869,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.868,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.868,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.867,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.867,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.866,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.866,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.865,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.865,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.864,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.864,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.854,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.844,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.834,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.209,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.209,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.208,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.207,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.207,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.206,-1.6,2.6,-0.824,0.002
